KD_OBAT,NAMA,Category,Subcategory,BrandGroup,Manufacturer
AI-0001,Vagizol Ovula 500mg ,Antibiotics & Anti-infectives,Suppository,Vagizol,suppos
AI-0002,4-Epeedo 10 mg/vial,Injectables & Hospital Care,Vial/Injection,Epeedo,Kifa
AI-0003,4-Epeedo 50 mg/vial,Injectables & Hospital Care,Vial/Injection,Epeedo,Kifa
AI-0004,Abingem 1000 mg,Oncology & Specialty,Vial/Injection,Abingem,Kifa
AI-0005,ABU Polivalen vial 5 ml,Injectables & Hospital Care,Vial/Injection,Abu,Biof
AI-0006,Acifar 200 mg,General Medicine,Tablet,Acifar,Ifar
AI-0007,Acrios 100 mg,General Medicine,Tablet,Acrios,Acta
AI-0008,Acrios 50 mg,General Medicine,Tablet,Acrios,Acta
AI-0009,Actabone 300 mg/5 m,Injectables & Hospital Care,Vial/Injection,Actabone,Acta
AI-0010,Actapin 10 mg,General Medicine,Tablet,Actapin,Acta
AI-0011,Actapin 5 mg,General Medicine,Tablet,Actapin,Acta
AI-0012,Actaryl 2 mg,General Medicine,Tablet,Actaryl,Acta
AI-0013,Actazolam 0,General Medicine,Tablet,Actazolam,Acta
AI-0014,Actazolam 1 mg,General Medicine,Tablet,Actazolam,Acta
AI-0015,Actilyse 50 mg,Injectables & Hospital Care,Vial/Injection,Actilyse,Boeh
AI-0016,Actoplatin 150 mg/15 ,Oncology & Specialty,Vial/Injection,Actoplatin,Acta
AI-0017,Actoplatin 450 mg/45 ,Oncology & Specialty,Vial/Injection,Actoplatin,Acta
AI-0018,Actos/Pioglitazone TI 15 mg,Diabetes Care,Tablet,Actos,Take
AI-0019,Actos/Pioglitazone TI 30 mg,Diabetes Care,Tablet,Actos,Take
AI-0020,Actrapid HM 100 IU/ml,Diabetes Care,Vial/Injection,Actrapid,Novo
AI-0021,Actrapid HM 10ml,Diabetes Care,Vial/Injection,Actrapid,Novo
AI-0022,Actrapid HM Penfill 100 IU/ml,Diabetes Care,Penfill,Actrapid,Novo
AI-0023,Actrapid HM Penfill 3ml,Diabetes Care,Penfill,Actrapid,Novo
AI-0024,Acyclovir 200 mg,Antibiotics & Anti-infectives,Tablet,Acyclovir,Infa
AI-0025,Acyclovir 400 mg,Antibiotics & Anti-infectives,Tablet,Acyclovir,Hexp
AI-0026,Adalat Oros 20 mg,Cardiovascular,Tablet,Adalat,Bayr
AI-0027,Adalat Oros 30 mg,Cardiovascular,Tablet,Adalat,Bayr
AI-0028,Adona (AC-17) 10 mg,General Medicine,Tablet,Adona,Tana
AI-0029,Adona (AC-17) 5 mg/ml,Injectables & Hospital Care,Vial/Injection,Adona,Tana
AI-0030,Albapure 20%,General Medicine,Bottle/Liquid,Albapure,Dexa
AI-0031,Albapure 20%,General Medicine,Bottle/Liquid,Albapure,Dexa
AI-0032,Albendazole 400 mg,General Medicine,Tablet,Albendazole,Phap
AI-0033,Albothyl 10 ml,General Medicine,Bottle/Liquid,Albothyl,Phar
AI-0034,Albothyl 90 mg,General Medicine,Suppository,Albothyl,Phar
AI-0035,Albuman 20%,General Medicine,Bottle/Liquid,Albuman,Graf
AI-0036,Albuman 20%,General Medicine,Bottle/Liquid,Albuman,Graf
AI-0037,Albuman/Cealb 20%,General Medicine,Bottle/Liquid,Albuman,Graf
AI-0038,Albuman/Cealb 20%,General Medicine,Bottle/Liquid,Albuman,Graf
AI-0039,Alinamin F 25 mg/10 m,Injectables & Hospital Care,Vial/Injection,Alinamin,Take
AI-0040,Alkeran 2 mg,General Medicine,Tablet,Alkeran,Glax
AI-0041,Alkohol 70 % (Salah),General Medicine,Bottle/Liquid,Alkohol,Mola
AI-0042,Alletrol Compositum 5 ml,General Medicine,Bottle/Liquid,Alletrol,Erla
AI-0043,Allopurinol 100 mg,General Medicine,Tablet,Allopurinol,Hexp
AI-0044,Alpentin 100 mg,General Medicine,Other,Alpentin,Acta
AI-0045,Alpentin 300 mg,General Medicine,Other,Alpentin,Acta
AI-0046,Alprazolam 0,General Medicine,Tablet,Alprazolam,Otto
AI-0047,Alprazolam 1 mg,General Medicine,Tablet,Alprazolam,Otto
AI-0048,Ambiopi 500 mg,General Medicine,Other,Ambiopi,Mers
AI-0049,Ambroxol 15mg/5ml,Respiratory & Allergy,Bottle/Liquid,Ambroxol,Infa
AI-0050,Ambroxol 30 mg,Respiratory & Allergy,Tablet,Ambroxol,Infa
AI-0051,Amdixal 10 mg,General Medicine,Tablet,Amdixal,Sand
AI-0052,Amdixal 5 mg,General Medicine,Tablet,Amdixal,Sand
AI-0053,Amikacin 250 mg,Antibiotics & Anti-infectives,Vial/Injection,Amikacin,Dexa
AI-0054,Amikacin 500 mg,Antibiotics & Anti-infectives,Vial/Injection,Amikacin,Dexa
AI-0055,Aminofilin 200 mg,General Medicine,Tablet,Aminofilin,Infa
AI-0056,Aminofluid 1000 ml,Respiratory & Allergy,Other,Aminofluid,"Zn,"
AI-0057,Aminofluid 500 ml,Respiratory & Allergy,Other,Aminofluid,"Zn,"
AI-0058,Aminofusin Hepar 500 ml,General Medicine,Bottle/Liquid,Aminofusin,Kalb
AI-0059,Aminofusin L 600 500 ml,General Medicine,Bottle/Liquid,Aminofusin,Kalb
AI-0060,Aminoleban 500 ml,General Medicine,Other,Aminoleban,"dll,"
AI-0061,Aminoplasmal 10% E 500 ml,General Medicine,Other,Aminoplasmal,btl
AI-0062,Aminoplasmal 5% E 500 ml,General Medicine,Bottle/Liquid,Aminoplasmal,Bbmi
AI-0063,Aminopyline 200 mg,General Medicine,Tablet,Aminopyline,Mari
AI-0064,Aminosteril N-Hepa 500 ml,General Medicine,Other,Aminosteril,"Mine,"
AI-0065,Aminovel 600 500 ml,General Medicine,Bottle/Liquid,Aminovel,Otsu
AI-0066,Amitriptyline 25 mg,General Medicine,Tablet,Amitriptyline,Infa
AI-0067,Amlodipin 10 mg,General Medicine,Tablet,Amlodipin,Hexp
AI-0068,Amlodipin 5 mg,General Medicine,Tablet,Amlodipin,Hexp
AI-0069,Amlodipin Besylat 10 mg,General Medicine,Tablet,Amlodipin,P-Hexp
AI-0070,Amlodipin Besylat 5 mg,General Medicine,Tablet,Amlodipin,P-000
AI-0073,Amoxicillin 125 mg,Antibiotics & Anti-infectives,Bottle/Liquid,Amoxicillin,Phap
AI-0074,Amoxicillin 250 mg,Antibiotics & Anti-infectives,Other,Amoxicillin,Infa
AI-0075,Amoxicillin 500 mg,Antibiotics & Anti-infectives,Tablet,Amoxicillin,Rama
AI-0076,Amoxsan 100 mg/ml,General Medicine,Bottle/Liquid,Amoxsan,Sanb
AI-0077,Ampicillin 125 mg/5ml,Antibiotics & Anti-infectives,Bottle/Liquid,Ampicillin,Phyt
AI-0078,Ampicillin 500 mg,Antibiotics & Anti-infectives,Vial/Injection,Ampicillin,Infa
AI-0079,Anadex 127,General Medicine,Other,Anadex,btl
AI-0080,Anafranil 25 mg,General Medicine,Tablet,Anafranil,Nova
AI-0081,Anemolat 1 mg,General Medicine,Tablet,Anemolat,Phap
AI-0082,Anesfar 5 mg/5 ml,Injectables & Hospital Care,Vial/Injection,Anesfar,Prat
AI-0083,Antalgin 500 mg,General Medicine,Tablet,Antalgin,Mari
AI-0084,Antasida DOEN 400 mg ,Gastrointestinal,Tablet,Antasida,Prom
AI-0085,Antidia 2 mg,General Medicine,Tablet,Antidia,Bern
AI-0086,Antifungi Salep Kombinasi 9%,Dermatology & Topical,Ointment/Topical,Antifungi,Mari
AI-0087,Antihemoroid Supositoria 282,General Medicine,Other,Antihemoroid,Aptk
AI-0088,Antiprestin 10 mg,General Medicine,Other,Antiprestin,Phar
AI-0089,Antrain 500 mg/ml,Injectables & Hospital Care,Vial/Injection,Antrain,Intr
AI-0090,Anvomer B6 70 mg,General Medicine,Tablet,Anvomer,Dexa
AI-0091,Anxibloc 10 mg,General Medicine,Tablet,Anxibloc,Dexa
AI-0092,Anzatax 150 mg/via,Injectables & Hospital Care,Vial/Injection,Anzatax,Temp
AI-0093,Anzatax 30 mg/vial,Injectables & Hospital Care,Vial/Injection,Anzatax,Temp
AI-0094,Apazol 0,General Medicine,Tablet,Apazol,Dexa
AI-0095,Apazol 1 mg,General Medicine,Tablet,Apazol,Dexa
AI-0096,Apidra Solostar Pen 100 IU/ml,General Medicine,Other,Apidra,Aven
AI-0097,Aptor 100 mg,General Medicine,Tablet,Aptor,Nich
AI-0098,Arimidex 1 mg,General Medicine,Tablet,Arimidex,Asca
AI-0099,Arixtra 2,Injectables & Hospital Care,Vial/Injection,Arixtra,Glax
AI-0100,Aromasin 25 mg,General Medicine,Tablet,Aromasin,Pfiz
AI-0101,Artemether injeksi 80 mg,Injectables & Hospital Care,Vial/Injection,Artemether,Aptk
AI-0102,Asabium 10 mg,General Medicine,Tablet,Asabium,Otto
AI-0103,Asam Askorbat 50 mg,General Medicine,Tablet,Asam,Kifa
AI-0104,Asam Mefenamat 250 mg,Pain Relief & Inflammation,Other,Asam,Aptk
AI-0105,Asam Mefenamat 50 mg/5 ml,Pain Relief & Inflammation,Bottle/Liquid,Asam,Bern
AI-0106,Asam Mefenamat 500 mg,Pain Relief & Inflammation,Other,Asam,Land
AI-0107,Asam Traneksamat 250 mg/5 m,Injectables & Hospital Care,Vial/Injection,Asam,Soho
AI-0108,Asam Traneksamat 500 mg cap,General Medicine,Capsule,Asam,Bern
AI-0109,Asam Traneksamat 500 mg/5 m amp,Injectables & Hospital Care,Vial/Injection,Asam,Hexp
AI-0110,Asering 500 ml,General Medicine,Bottle/Liquid,Asering,Otsu
AI-0111,Asetosal 500 mg,General Medicine,Tablet,Asetosal,Phap
AI-0112,Asimat 500 mg,General Medicine,Other,Asimat,Mers
AI-0113,Aspar K 300 mg,General Medicine,Tablet,Aspar,Tana
AI-0114,Aspilets 80 mg,Cardiovascular,Tablet,Aspilets,Dava
AI-0115,Asthenof 0,Medical Supplies & Devices,Other,Asthenof,Cend
AI-0116,Astika 100 mg,Medical Supplies & Devices,Tablet,Astika,Ikap
AI-0117,Atarax 0,General Medicine,Other,Atarax,tab
AI-0118,Atmacid 350 mg kom,General Medicine,Tablet,Atmacid,Graf
AI-0119,Atmacid 60 ml kom,General Medicine,Bottle/Liquid,Atmacid,Graf
AI-0120,Atorvastatin 20 mg,Cardiovascular,Tablet,Atorvastatin,Yari
AI-0121,Atracurium Hameln 10 mg/ml,Injectables & Hospital Care,Vial/Injection,Atracurium,Comb
AI-0122,Atracurium Hameln 2,General Medicine,Other,Atracurium,amp
AI-0123,Atracurium Hameln 5 ml,Injectables & Hospital Care,Vial/Injection,Atracurium,Comb
AI-0124,Atranac 25 mg,General Medicine,Tablet,Atranac,Cors
AI-0125,Atropin 0,Injectables & Hospital Care,Vial/Injection,Atropin,Ethi
AI-0126,Atrovent 20 mcg/puf,General Medicine,Other,Atrovent,Boeh
AI-0127,ATS 1.500,Injectables & Hospital Care,Vial/Injection,Ats,Biof
AI-0128,ATS 20.000,Injectables & Hospital Care,Vial/Injection,Ats,Biof
AI-0129,Avamys 120 dosis,General Medicine,Bottle/Liquid,Avamys,Glax
AI-0130,Avamys intranasal-SALAH,General Medicine,Bottle/Liquid,Avamys,Glax
AI-0131,Avastin 100 mg/4 m,Injectables & Hospital Care,Vial/Injection,Avastin,Roch
AI-0132,Avodart 0,General Medicine,Other,Avodart,Gski
AI-0133,Azithromycin 200 mg/5 ml,Antibiotics & Anti-infectives,Bottle/Liquid,Azithromycin,Soho
AI-0134,Azithromycin 250 mg,Antibiotics & Anti-infectives,Tablet,Azithromycin,Soho
AI-0135,Azithromycin 500 mg,Antibiotics & Anti-infectives,Tablet,Azithromycin,Soho
AI-0136,Azomax DS 200 mg/5ml,General Medicine,Bottle/Liquid,Azomax,Dexa
AI-0137,Azopt 1%,General Medicine,Bottle/Liquid,Azopt,Alco
AI-0138,Bamgetol 200 mg,General Medicine,Tablet,Bamgetol,Mers
AI-0139,Bellaphen 0,General Medicine,Other,Bellaphen,tab drag
AI-0140,Beneuron 300,Vitamins & Supplements,Other,Beneuron,Tab
AI-0141,Benzatin Penisilin 1,Injectables & Hospital Care,Vial/Injection,Benzatin,Phap
AI-0142,Benzatin Penisilin 2,Injectables & Hospital Care,Vial/Injection,Benzatin,Phap
AI-0143,Berotec MDI 100 mcg/pu,General Medicine,Other,Berotec,Boeh
AI-0144,Betametason 0,General Medicine,Other,Betametason,tube
AI-0145,Beta-One 2,General Medicine,Tablet,Beta,Dank
AI-0146,Beta-One 5 mg,General Medicine,Tablet,Beta,Dank
AI-0147,Betaserc 8 mg,General Medicine,Tablet,Betaserc,Abbt
AI-0148,Betason 0,General Medicine,Other,Betason,Tube
AI-0149,Betason N 0,General Medicine,Other,Betason,tube
AI-0150,Binozyt 500 mg,General Medicine,Tablet,Binozyt,Sand
AI-0151,Biogesic 500 mg,General Medicine,Tablet,Biogesic,Dava
AI-0152,Bioprexum 5 mg,General Medicine,Tablet,Bioprexum,Serv
AI-0153,Bipro 5 mg,General Medicine,Tablet,Bipro,Prat
AI-0154,Biscor 5 mg,General Medicine,Tablet,Biscor,Dexa
AI-0155,Bisolvon Kids 4mg/5ml,General Medicine,Bottle/Liquid,Bisolvon,Boeh
AI-0156,Bisoprolol 5 mg,Cardiovascular,Tablet,Bisoprolol,Hexp
AI-0157,Bisovell 5 mg,General Medicine,Tablet,Bisovell,Nove
AI-0158,Bleocin 15 mg/amp,Injectables & Hospital Care,Vial/Injection,Bleocin,Kalb
AI-0159,Bondronat 6 mg/6 ml,Injectables & Hospital Care,Vial/Injection,Bondronat,Roch
AI-0160,Bonefos 300 mg/5 m,Injectables & Hospital Care,Vial/Injection,Bonefos,Bayr
AI-0161,Borraginol N Supp supp Komb,General Medicine,Other,Borraginol,Take
AI-0162,Braxidin 7,General Medicine,Tablet,Braxidin,Sanb
AI-0163,Brexel 20 mg,Injectables & Hospital Care,Vial/Injection,Brexel,Kalb
AI-0164,Brexel 20 mg/vial,Injectables & Hospital Care,Vial/Injection,Brexel,Kalb
AI-0165,Brexel 80 mg/vial,Injectables & Hospital Care,Vial/Injection,Brexel,Kalb
AI-0166,Bricasma Respules 2,General Medicine,Other,Bricasma,Asca
AI-0167,Bricasma Turbuhaler 0,General Medicine,Tablet,Bricasma,Asca
AI-0168,Bromocriptine 2,General Medicine,Tablet,Bromocriptine,Aptk
AI-0169,Bronkris 8 mg,General Medicine,Tablet,Bronkris,Graf
AI-0170,Bronkris Elixir 4mg/5ml,General Medicine,Bottle/Liquid,Bronkris,Graf
AI-0171,Broxal 15mg/5ml,General Medicine,Bottle/Liquid,Broxal,Bern
AI-0172,Broxal 30 mg,General Medicine,Tablet,Broxal,Bern
AI-0173,Bunofa 400 mg,General Medicine,Tablet,Bunofa,Nufa
AI-0174,Burnazin 1%,General Medicine,Other,Burnazin,Dava
AI-0175,Burnazin 1%,General Medicine,Other,Burnazin,Dava
AI-0176,Buscopan Plus 510 mg,General Medicine,Tablet,Buscopan,Boeh
AI-0177,Buscotica 20 mg/ml,Injectables & Hospital Care,Vial/Injection,Buscotica,Ethi
AI-0178,Calcii Gluconas 100 mg/ml,Injectables & Hospital Care,Vial/Injection,Calcii,Ethi
AI-0179,Calcium Folinat 50 mg/ml,Vitamins & Supplements,Vial/Injection,Calcium,Ferr
AI-0180,Calos 500 mg,General Medicine,Tablet,Calos,Prat
AI-0181,Cameloc 15 mg,General Medicine,Tablet,Cameloc,Dexa
AI-0182,Cameloc 15 mg supp,General Medicine,Other,Cameloc,Dexa
AI-0183,Cameloc 7,General Medicine,Tablet,Cameloc,Dexa
AI-0184,Camicetine 250 mg,General Medicine,Other,Camicetine,Luca
AI-0185,Campto 100 mg/5 ml,Injectables & Hospital Care,Vial/Injection,Campto,Pfiz
AI-0186,Campto 40 mg/2 ml,Injectables & Hospital Care,Vial/Injection,Campto,Pfiz
AI-0187,Canderin 16 mg,General Medicine,Tablet,Canderin,Dexa
AI-0188,Canderin 8 mg,General Medicine,Tablet,Canderin,Dexa
AI-0189,Candesartan TI 16 mg,General Medicine,Tablet,Candesartan,Take
AI-0190,Candesartan TI 8 mg ,General Medicine,Tablet,Candesartan,Take
AI-0191,Captopril 12,Cardiovascular,Tablet,Captopril,Hexp
AI-0192,Captopril 25 mg,Cardiovascular,Tablet,Captopril,Hexp
AI-0193,Captopril 50 mg,Cardiovascular,Tablet,Captopril,Hexp
AI-0194,Carbamazepine 200 mg,General Medicine,Tablet,Carbamazepine,Infa
AI-0195,Carbloxal 6,General Medicine,Other,Carbloxal,Sand
AI-0196,Carboplatin 150 mg/15 ,Oncology & Specialty,Vial/Injection,Carboplatin,Kalb
AI-0197,Carboplatin 450 mg/45 ,Oncology & Specialty,Vial/Injection,Carboplatin,Pfiz
AI-0198,Carbosin RTUS 150 mg/15 ,Injectables & Hospital Care,Vial/Injection,Carbosin,Comb
AI-0199,Carbosin RTUS 450 mg/45 ,Injectables & Hospital Care,Vial/Injection,Carbosin,Comb
AI-0200,Cardace 10 mg,General Medicine,Tablet,Cardace,Sano
AI-0201,Cardace 2,General Medicine,Tablet,Cardace,Sano
AI-0202,Cardace 5 mg,General Medicine,Tablet,Cardace,Sano
AI-0203,Cardura 1 mg,General Medicine,Tablet,Cardura,Pfiz
AI-0204,Cardura 2 mg,General Medicine,Tablet,Cardura,Pfiz
